Проект,Собранная сумма
"Mariann Kiidroni debüütluulekogu ""Naiselt Mehele. Armastusega"" väljaandmine",150
Teatribussi Pettsoni ja Finduse album,10
Film Eesti paraspordist,1202
"Kreet Rosina uue raamatu ""Maximuse muhedad mõtisklused"" väljaandmine",236
"Mürri debüütalbum ""Kuidas Armastada Luuletajat""",1190
"Lühifilm ""Pandeemia""",501
Suusasportlase tippvõistlusteks ettevalmistus Norras,2054
Toome innovaatilise õppe Eesti lasteni: Maailma avamine lugude kaudu,2949
"Raamat ""Elli lapsesuu""",1361
"Projekt Õpside stuudioalbum ""Akadeemikud""",
