,url,amount,bakers
0,https://www.hooandja.ee/projekt/must-kass-ja-mustikas,6,13
1,https://www.hooandja.ee/projekt/must-kass-ja-mustikas,14,89
2,https://www.hooandja.ee/projekt/must-kass-ja-mustikas,25,60
3,https://www.hooandja.ee/projekt/must-kass-ja-mustikas,85,4
4,https://www.hooandja.ee/projekt/must-kass-ja-mustikas,150,5
5,https://www.hooandja.ee/projekt/teraapia-ja-meelesusteemideaed-aegviitu,5,23
6,https://www.hooandja.ee/projekt/teraapia-ja-meelesusteemideaed-aegviitu,15,12
7,https://www.hooandja.ee/projekt/teraapia-ja-meelesusteemideaed-aegviitu,25,17
8,https://www.hooandja.ee/projekt/teraapia-ja-meelesusteemideaed-aegviitu,45,11
9,https://www.hooandja.ee/projekt/teraapia-ja-meelesusteemideaed-aegviitu,100,5
10,https://www.hooandja.ee/projekt/exitus,5,6
11,https://www.hooandja.ee/projekt/exitus,10,4
12,https://www.hooandja.ee/projekt/exitus,15,8
13,https://www.hooandja.ee/projekt/exitus,20,22
14,https://www.hooandja.ee/projekt/exitus,25,6
15,https://www.hooandja.ee/projekt/exitus,50,4
16,https://www.hooandja.ee/projekt/luhifilm-ohver,10,9
17,https://www.hooandja.ee/projekt/luhifilm-ohver,15,10
18,https://www.hooandja.ee/projekt/luhifilm-ohver,20,1
19,https://www.hooandja.ee/projekt/luhifilm-ohver,24,1
20,https://www.hooandja.ee/projekt/luhifilm-ohver,25,16
21,https://www.hooandja.ee/projekt/luhifilm-ohver,35,9
22,https://www.hooandja.ee/projekt/luhifilm-ohver,100,0
23,https://www.hooandja.ee/projekt/luhifilm-ohver,250,0
24,https://www.hooandja.ee/projekt/luhifilm-ohver,500,0
25,https://www.hooandja.ee/projekt/luhifilm-ohver,2000,0
26,https://www.hooandja.ee/projekt/mari-kalkuni-ounaaia-luhialbum,5,7
27,https://www.hooandja.ee/projekt/mari-kalkuni-ounaaia-luhialbum,10,32
28,https://www.hooandja.ee/projekt/mari-kalkuni-ounaaia-luhialbum,15,23
29,https://www.hooandja.ee/projekt/mari-kalkuni-ounaaia-luhialbum,20,15
30,https://www.hooandja.ee/projekt/mari-kalkuni-ounaaia-luhialbum,25,72
31,https://www.hooandja.ee/projekt/mari-kalkuni-ounaaia-luhialbum,30,27
32,https://www.hooandja.ee/projekt/mari-kalkuni-ounaaia-luhialbum,40,10
33,https://www.hooandja.ee/projekt/mari-kalkuni-ounaaia-luhialbum,50,17
34,https://www.hooandja.ee/projekt/mari-kalkuni-ounaaia-luhialbum,75,4
35,https://www.hooandja.ee/projekt/mari-kalkuni-ounaaia-luhialbum,125,1
36,https://www.hooandja.ee/projekt/mari-kalkuni-ounaaia-luhialbum,300,0
37,https://www.hooandja.ee/projekt/mari-kalkuni-ounaaia-luhialbum,500,3
38,https://www.hooandja.ee/projekt/kinkeraamat-onnelikteekond-becominghappy,1,10
39,https://www.hooandja.ee/projekt/kinkeraamat-onnelikteekond-becominghappy,7,7
40,https://www.hooandja.ee/projekt/kinkeraamat-onnelikteekond-becominghappy,18,43
41,https://www.hooandja.ee/projekt/kinkeraamat-onnelikteekond-becominghappy,44,6
42,https://www.hooandja.ee/projekt/kinkeraamat-onnelikteekond-becominghappy,88,4
43,https://www.hooandja.ee/projekt/kinkeraamat-onnelikteekond-becominghappy,222,0
44,https://www.hooandja.ee/projekt/kinkeraamat-onnelikteekond-becominghappy,333,0
45,https://www.hooandja.ee/projekt/kinkeraamat-onnelikteekond-becominghappy,555,0
46,https://www.hooandja.ee/projekt/lexsoul-dancemachine-lexplosion-ii-album,5,19
