,Title,Link,Name,Cat,Aut link,Plan,Budget,Date
67,"Lasteraamat ""Tähestikupere. Abimees tähtede õppimisel""",https://www.hooandja.ee/projekt/lasteraamat-tahestikupere-abimees-tahtede-oppimisel,Kristel Põld Trükis,Trükis,https://www.hooandja.ee/users/sapaskri,102,3380,12
68,"Märten Krossi autoriplaadi ""Üks poiss vaatas tähti""  väljaandmine",https://www.hooandja.ee/projekt/marten-krossi-autoriplaadi-uks-poiss-vaatas-tahti-valjaandmine,Märten Kross Muusika,Muusika,https://www.hooandja.ee/users/martenkross,100,5015,12
69,Jõuluvana Postkontor 2019,https://www.hooandja.ee/projekt/jouluvana-postkontor-2019,Mittetulundusühing Do Good Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/kartkybarsepp,107,535,12
70,"Lastelaulude CD ""Märkaja - püüa päeva!""",https://www.hooandja.ee/projekt/lastelaulude-cd-markaja-puua-paeva,Liina Ellik Muusika,Muusika,https://www.hooandja.ee/users/liinaellik,103,1195,12
71,Aita tutvustada püsimetsandust!,https://www.hooandja.ee/projekt/aita-tutvustada-pusimetsandust,Eestimaa Looduse Fond Trükis,Trükis,https://www.hooandja.ee/users/kertu2-0,266,2662,12
72,Eluterve pohhuist raamat,https://www.hooandja.ee/projekt/eluterve-pohhuist,Tom Estonia Valsberg Trükis,Trükis,https://www.hooandja.ee/users/ilmahirmuta,117,8087,12
73,"""Aitäh, Uno Naissoo!"" - Uno Naissoo loominguga plaadi välja andmine.",https://www.hooandja.ee/projekt/uno-naissoo-lauludega-plaadi-valja-andmine,Ivi Rausi Muusika,Muusika,https://www.hooandja.ee/users/ivirausi,100,2900,12
74,Kalender 2020 Fiona ja Frida väikesed rõõmud,https://www.hooandja.ee/projekt/fiona-ja-frida,Meeli Trükis,Trükis,https://www.hooandja.ee/users/freiya1,121,2181,12
75,Hulkur Dumball Rallyle 2020,https://www.hooandja.ee/projekt/hulkur-dumball-rallyle-2020,Hulkur Kultuurisaadikud,Kultuurisaadikud,https://www.hooandja.ee/users/info235,100,8025,12
76,"Luulekogu ""Elan.Usaldan.Armastan.""",https://www.hooandja.ee/projekt/luulekogu-elanusaldanarmastan,Kaidi Koppel Trükis,Trükis,https://www.hooandja.ee/users/kaidikoppel27,106,2230,12
77,"Luulekogu-fotoraamat ""Vaikiv valgus""",https://www.hooandja.ee/projekt/luulekogu-fotoraamat-vaikiv-valgus,Maris Mägi Trükis,Trükis,https://www.hooandja.ee/users/marismagi006,104,1562,12
78,"Heliraamat ""Linnulood""",https://www.hooandja.ee/projekt/linnulood,Polina Tserkassova Muusika,Muusika,https://www.hooandja.ee/users/polinapoliniel,143,3990,12
79,"1.kiht – Ilus, mugav ja loodust säästev aluspesu naistele",https://www.hooandja.ee/projekt/1kiht,1.kiht Disain,Disain,https://www.hooandja.ee/users/kerstimikkov-0,101,3040,12
80,"Luulekogu ""ENESELEIDJA""",https://www.hooandja.ee/projekt/luulekogu-eneseleidja,Kristo Tuurmann Trükis,Trükis,https://www.hooandja.ee/users/kristotuurmann,122,1464,12
236,Carlos Ukareda debüütsingli muusikavideo,https://www.hooandja.ee/projekt/carlos-ukareda-debuutsingli-muusikavideo,Carlos Ukareda Muusika,Muusika,https://www.hooandja.ee/users/1980346795388400,106,850,12
237,"Suits ja Kool heliplaat ""Kasesalu tantsud""",https://www.hooandja.ee/projekt/suits-ja-kool-heliplaat-kasesalu-tantsud,Kristi Kool Muusika,Muusika,https://www.hooandja.ee/users/spotlight,101,2165,12
238,Aita sisustada kaasaegne puutöötuba!,https://www.hooandja.ee/projekt/aita-sisustada-kaasaegne-puutootuba,Tauno Toompuu Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/taunotoompuu,107,5330,12
239,Nõmme Lumepargi uuele nõlvale uued obstaaklid!,https://www.hooandja.ee/projekt/nomme-lumepargi-uuele-nolvale-uued-obstaaklid,Kaimai Sport,Sport,https://www.hooandja.ee/users/kaimai,181,8130,12
240,Aleksei Turovski „Aastaajad“,https://www.hooandja.ee/projekt/aleksei-turovski-aastaajad,Zoosemu Trükis,Trükis,https://www.hooandja.ee/users/zoosemu,102,7655,12
241,Iluuisutaja Carmen-Aneth Vanatoa ettevalmistus eelseisvateks võistlusteks,https://www.hooandja.ee/projekt/iluuisutaja-carmen-aneth-vanatoa-ettevalmistus-eelseisvateks-voistlusteks,Carmen-Aneth Vanatoa Sport,Sport,https://www.hooandja.ee/users/vanatoaelika,100,550,12
