,Title,Link,Name,Cat,Aut link,Plan,Budget,Date
1,"Ühejuturaamat ""Must kass ja Mustikas""",https://www.hooandja.ee/projekt/must-kass-ja-mustikas,Marge Pärnits Trükis,Trükis,https://www.hooandja.ee/users/maie,103,4 790,17.06.2020
2,Teraapia -ja meelesüsteemideaed Eesti matkapealinna Aegviitu,https://www.hooandja.ee/projekt/teraapia-ja-meelesusteemideaed-aegviitu,Eesti Loodus- ja Loomateraapiakeskus Keskkond,Keskkond,https://www.hooandja.ee/users/info220,110,2 970,12.06.2020
3,"Erik Juhandi debüütluulekogu ""Exitus""",https://www.hooandja.ee/projekt/exitus,Erik Juhandi Trükis,Trükis,https://www.hooandja.ee/users/erikjuhandi,125,1 064,11.06.2020
4,"Lühifilm ""Ohver""",https://www.hooandja.ee/projekt/luhifilm-ohver,Natalja Matsenene Film & Foto,Film & Foto,https://www.hooandja.ee/users/nataliamachenene,102,1 535,08.06.2020
5,"Mari Kalkuni plaadi ""Õunaaia album"" ja video väljaandmine",https://www.hooandja.ee/projekt/mari-kalkuni-ounaaia-luhialbum,Mari Kalkun Muusika,Muusika,https://www.hooandja.ee/users/marikalkun,245,7 338,05.06.2020
6,Kinkeraamat #õnnelikteekond #becominghappy,https://www.hooandja.ee/projekt/kinkeraamat-onnelikteekond-becominghappy,Birgit Itse Trükis,Trükis,https://www.hooandja.ee/users/birgititse,103,2 283,03.06.2020
7,"Lexsoul Dancemachine ""Lexplosion II"" album",https://www.hooandja.ee/projekt/lexsoul-dancemachine-lexplosion-ii-album,Lexsoul Dancemachine Muusika,Muusika,https://www.hooandja.ee/users/353,130,6 515,02.06.2020
8,"Endise spordiajakirjaniku Valeri Maksimovi elulooraamat ""Hiiumehe ränd""",https://www.hooandja.ee/projekt/valeri-maksimovi-elulooraamat,Tiina Lelumees Trükis,Trükis,https://www.hooandja.ee/users/tiinalelumees,107,2 353,02.06.2020
9,Narva Airsoft CQB areen,https://www.hooandja.ee/projekt/narva-airsoft-cqb-areen,Alex Zrajev Sport,Sport,https://www.hooandja.ee/users/zrasahan,120,4 185,01.06.2020
10,VORONJA SKULPTUURIDE AED,https://www.hooandja.ee/projekt/voronja-skulptuuride-aed,Raul Oreškin Kunst,Kunst,https://www.hooandja.ee/users/raul,123,8 245,01.06.2020
11,"Film ""Ankeet""",https://www.hooandja.ee/projekt/film-ankeet,Aljona Surzhikova Film & Foto,Film & Foto,https://www.hooandja.ee/users/saljona,102,3 067,01.06.2020
12,"Curly Strings ja sõbrad - heategevusliku albumi ""Lastele"" välja andmine",https://www.hooandja.ee/projekt/curly-strings-heategevuslik-album-lastele,Curly Strings Trükis,Trükis,https://www.hooandja.ee/users/curlystringsestonia,101,13 389,30.05.2020
13,"""mujal nüüd – elsewhere today"" raamatu väljaandmine",https://www.hooandja.ee/projekt/elsewhere-today,Lembe Lokk Trükis,Trükis,https://www.hooandja.ee/users/lembelokk,112,1 677,23.05.2020
14,"Investeerimisraamat ""Sõltumatu naine. 5 sammu rahalise vabaduseni""",https://www.hooandja.ee/projekt/raamat-soltumatu-naine,Merit Raju Trükis,Trükis,https://www.hooandja.ee/users/meritraju,116,4 620,21.05.2020
