,Title,Link,Name,Cat,Aut link,Plan,Budget,Date
1192,Kotid karmi ajalooga,https://www.hooandja.ee/projekt/kotid-karmi-ajalooga,Ivar Disain,Disain,https://www.hooandja.ee/users/ivararulaid,125,1252,2012
1191,Müstiline raba,https://www.hooandja.ee/projekt/mC3BCstiline-raba,Chintis Lundgren Film & Foto,Film & Foto,https://www.hooandja.ee/users/chintis-lundgren,127,636,2012
1190,CD Liisi Koikson ja Vaikne Esmaspäev,https://www.hooandja.ee/projekt/cd-liisi-koikson-ja-vaikne-esmaspC3A4ev,ardo varres Muusika,Muusika,https://www.hooandja.ee/users/avarres,104,2303,2012
1189,Eksperimentaaletendus SPA,https://www.hooandja.ee/projekt/eksperimentaaletendus-spa,Annika Haas Teater,Teater,https://www.hooandja.ee/users/info,115,1382,2012
1188,Johanna-Adele Jüssi debüütplaadi „Kiilid“ lendu laskmine!,https://www.hooandja.ee/projekt/johanna-adele-jC3BCssi-debC3BCC3BCtplaadi-E2809EkiilidE2809C-lendu-laskmine,Johanna-Adele Jüssi Muusika,Muusika,https://www.hooandja.ee/users/johadele,102,2236,2012
1187,Tom Valsbergi Rännakuraamat ja CD uute lauludega,https://www.hooandja.ee/projekt/tom-valsbergi-rC3A4nnakuraamat-ja-cd-uute-lauludega,Tom Estonia Valsberg Trükis,Trükis,https://www.hooandja.ee/users/ilmahirmuta,122,3046,2012
1186,kontsert-tantsulavastus Dresscode: Smoking,https://www.hooandja.ee/projekt/kontsert-tantsulavastus-dresscode-smoking,Maarja Tõnisson Teater,Teater,https://www.hooandja.ee/users/maarjatonisson,102,509,2012
1185,Esimene eestikeelne trummi ja bassi album artistilt Planeet,https://www.hooandja.ee/projekt/esimene-eestikeelne-trummi-ja-bassi-album-artistilt-planeet,Planeet Muusika,Muusika,https://www.hooandja.ee/users/mik,125,2379,2012
1184,"Peeter Lauritsa kunstialbum ""Sild sinna ja tagasi""",https://www.hooandja.ee/projekt/peeter-lauritsa-kunstialbum-sild-sinna-ja-tagasi,Peeter Laurits Trükis,Trükis,https://www.hooandja.ee/users/mail,115,5691,2012
1183,Lukustatud,https://www.hooandja.ee/projekt/lukustatud,Ave Habakuk Teater,Teater,https://www.hooandja.ee/users/ave-habakuk,121,785,2012
1182,Vanamehe Multika 2.Osa,https://www.hooandja.ee/projekt/vanamehe-multika-2osa,Peeter Ritso Film & Foto,Film & Foto,https://www.hooandja.ee/users/peeterritso,100,1000,2012
1181,All Naked and The Dead,https://www.hooandja.ee/projekt/all-naked-and-dead,johannes_1 Teater,Teater,https://www.hooandja.ee/users/johannes1,108,1075,2012
1180,"Õhtu-, öö- ja unelaulude plaat",https://www.hooandja.ee/projekt/C3B5htu-C3B6C3B6-ja-unelaulude-plaat,Venno Loosaar Muusika,Muusika,https://www.hooandja.ee/users/otriin,110,2200,2012
1179,Rakvere Gümnaasiumi filmifestival,https://www.hooandja.ee/projekt/rakvere-gC3BCmnaasiumi-filmifestival,karl.sprenk Film & Foto,Film & Foto,https://www.hooandja.ee/users/karlsprenk,102,305,2012
1178,Stuudio Nahk: ortopeedilise lisaväärtusega disainjalatsid,https://www.hooandja.ee/projekt/stuudio-nahk-ortopeedilise-lisavC3A4C3A4rtusega-disainjalatsid,Karin Kallas Disain,Disain,https://www.hooandja.ee/users/kallaskarin1,117,2331,2012
1177,Animatsioon Uneskõndijad,https://www.hooandja.ee/projekt/animatsioon-uneskC3B5ndijad,Stella Salumaa Film & Foto,Film & Foto,https://www.hooandja.ee/users/salumaastella,116,347,2012
1176,Värviraamat Haldjaprintsess ja tema sõbrad,https://www.hooandja.ee/projekt/vC3A4rviraamat-haldjaprintsess-ja-tema-sC3B5brad,Imre Heero Trükis,Trükis,https://www.hooandja.ee/users/imre-heero,110,550,2012
1175,"Sädeleva Kassi esimene album ""MUUSIKA""",https://www.hooandja.ee/projekt/sC3A4deleva-kassi-esimene-album-muusika,Eerik Kändler Muusika,Muusika,https://www.hooandja.ee/users/eerikkandler,103,1847,2012
1174,Unustatud operetipärl  Therese Raide isikuraamat,https://www.hooandja.ee/projekt/unustatud-operetipC3A4rl-therese-raide-isikuraamat,helinavictoria Trükis,Trükis,https://www.hooandja.ee/users/helina-victoria-kruup,109,2172,2012
1173,Festivali „Hullunud Tartu“ kogumik,https://www.hooandja.ee/projekt/festivali-E2809Ehullunud-tartuE2809C-kogumik,Jaan Malin Trükis,Trükis,https://www.hooandja.ee/users/jaan-malin,101,2025,2012
1172,"Rauno Schultsi II luulekogu ""Pingil istusid kaks juuti""",https://www.hooandja.ee/projekt/rauno-schultsi-ii-luulekogu-pingil-istusid-kaks-juuti,Rauno Schults Trükis,Trükis,https://www.hooandja.ee/users/raunoschults,108,860,2012
1171,Marilyn Jurmani debüütplaat,https://www.hooandja.ee/projekt/marilyn-jurmani-debC3BCC3BCtplaat,Marilyn Muusika,Muusika,https://www.hooandja.ee/users/lyyn-jurman,129,2577,2012
1170,Abraham's Café plaat,https://www.hooandja.ee/projekt/abrahams-cafC3A9-plaat,Marten Altrov Muusika,Muusika,https://www.hooandja.ee/users/martenaltrov,106,1059,2012
1169,"Muusikaline tantsumuinasjutt ""OmaOma""",https://www.hooandja.ee/projekt/muusikaline-tantsumuinasjutt-omaoma,Annika Viibus Teater,Teater,https://www.hooandja.ee/users/annikaviibus,101,1401,2013
1168,Teater NO99 lavastus,https://www.hooandja.ee/projekt/teater-no99-lavastus,Teater NO99 Teater,Teater,https://www.hooandja.ee/users/katlin,152,15185,2013
1167,E-Aabits,https://www.hooandja.ee/projekt/e-aabits,Raul Kübarsepp Mäng,Mäng,https://www.hooandja.ee/users/raul-kC3BCbarsepp,157,3130,2013
1166,Odd Hugo debüüt-album!,https://www.hooandja.ee/projekt/odd-hugo-debC3BCC3BCt-album,Rando Kruus Muusika,Muusika,https://www.hooandja.ee/users/randokruus,109,1743,2013
